118.25.185.127:8443#JP [39.13ms 0.87Mbps]
2.27.132.160:8443#HK [55.71ms 3.16Mbps]
2.27.109.12:443#HK [55.82ms 0.3Mbps]
39.109.50.124:443#HK [优选高速 56.19ms 9.02Mbps]
2.27.109.62:443#HK [60.8ms 2.11Mbps]
205.189.160.50:443#HK [60.91ms 0.0Mbps]
119.28.162.39:8443#KR [61.75ms 4.68Mbps]
45.136.14.153:443#HK [62.18ms 7.15Mbps]
2.27.109.35:443#HK [63.33ms 1.75Mbps]
2.27.132.136:443#HK [63.44ms 0.27Mbps]
122.10.119.252:443#HK [63.61ms 0.31Mbps]
116.49.177.246:8443#HK [63.81ms 5.45Mbps]
43.155.134.179:443#KR [65.77ms 0.12Mbps]
157.254.198.27:443#JP [优选高速 67.48ms 8.78Mbps]
185.65.151.81:443#US [68.81ms 1.55Mbps]
124.156.173.124:443#CN [68.89ms 0.33Mbps]
124.156.215.193:443#JP [69.52ms 2.46Mbps]
45.144.136.19:8443#US [71.19ms 1.09Mbps]
13.124.169.29:443#KR [优选高速 72.26ms 8.53Mbps]
178.239.117.56:443#JP [73.22ms 0.16Mbps]
43.167.246.133:443#JP [73.94ms 0.2Mbps]
156.246.95.196:443#JP [74.07ms 2.11Mbps]
124.156.208.160:443#JP [74.21ms 2.61Mbps]
156.244.57.227:443#SG [76.6ms 0.25Mbps]
172.237.5.76:443#JP [77.76ms 0.27Mbps]
83.147.13.193:443#TW [80.39ms 4.37Mbps]
45.94.40.102:443#JP [80.51ms 0.1Mbps]
45.192.207.40:443#JP [83.23ms 0.06Mbps]
188.166.190.246:443#SG [86.94ms 0.08Mbps]
68.183.186.117:443#SG [89.18ms 0.26Mbps]
168.138.176.180:443#SG [89.49ms 6.72Mbps]
168.138.189.91:443#SG [90.52ms 5.72Mbps]
128.199.119.5:443#SG [90.82ms 0.17Mbps]
146.190.95.17:443#SG [92.11ms 0.3Mbps]
178.128.92.205:2087#SG [92.22ms 5.4Mbps]
178.93.160.236:443#SG [92.63ms 1.38Mbps]
178.128.86.3:443#SG [92.94ms 0.25Mbps]
43.174.193.1:443#CL [94.48ms 5.17Mbps]
142.249.60.51:443#TW [100.62ms 3.55Mbps]
151.242.188.249:443#TW [102.54ms 1.25Mbps]
151.242.189.184:443#TW [102.6ms 2.95Mbps]
160.22.74.117:443#VN [102.72ms 0.14Mbps]
151.242.188.209:443#TW [105.7ms 1.23Mbps]
151.242.189.137:443#TW [105.95ms 5.23Mbps]
47.83.139.13:8443#CN [110.06ms 7.44Mbps]
151.242.188.152:443#TW [优选高速 110.48ms 8.01Mbps]
129.154.50.72:8443#KR [111.64ms 1.12Mbps]
151.242.189.48:8443#TW [114.18ms 0.42Mbps]
151.242.189.162:443#TW [114.46ms 3.24Mbps]
146.56.167.171:443#KR [114.93ms 5.04Mbps]
157.119.103.52:443#US [115.13ms 1.77Mbps]
129.154.197.113:443#KR [115.79ms 1.45Mbps]
43.213.230.249:443#TW [118.2ms 4.77Mbps]
146.56.187.1:8443#KR [119.99ms 4.48Mbps]
152.67.198.36:443#KR [121.24ms 0.19Mbps]
147.139.189.225:443#ID [122.21ms 0.0Mbps]
146.56.180.103:443#KR [123.78ms 0.29Mbps]
146.56.188.74:443#KR [124.86ms 0.25Mbps]
95.40.227.67:443#US [128.95ms 0.17Mbps]
160.30.54.63:443#VN [131.13ms 0.18Mbps]
167.71.238.69:443#IN [134.31ms 0.29Mbps]
198.13.37.57:443#US [140.64ms 3.45Mbps]
5.253.29.241:2053#IN [143.81ms 0.29Mbps]
160.25.75.40:443#VN [145.77ms 0.2Mbps]
160.191.50.99:443#VN [147.94ms 0.09Mbps]
5.253.29.83:443#IN [148.41ms 0.1Mbps]
160.30.50.48:443#VN [149.34ms 0.18Mbps]
157.20.27.35:443#IN [150.14ms 0.08Mbps]
5.253.28.115:443#IN [152.28ms 0.11Mbps]
64.227.174.213:2053#IN [152.85ms 0.21Mbps]
88.218.193.1:443#DE [154.87ms 7.9Mbps]
64.118.159.108:443#DE [157.84ms 7.35Mbps]
5.253.28.234:443#IN [159.36ms 0.14Mbps]
61.245.11.45:443#PH [159.57ms 0.1Mbps]
64.227.164.129:443#IN [159.7ms 0.11Mbps]
216.40.86.110:8443#US [优选高速 160.33ms 8.21Mbps]
38.59.246.45:443#US [优选高速 162.16ms 9.3Mbps]
45.147.48.28:443#DE [优选高速 162.75ms 10.42Mbps]
206.223.84.247:443#US [163.06ms 4.71Mbps]
45.62.118.45:2053#US [163.66ms 7.94Mbps]
179.255.112.9:8443#US [163.92ms 1.66Mbps]
45.147.48.147:443#DE [优选高速 165.76ms 9.64Mbps]
38.54.116.31:2053#OM [172.81ms 5.51Mbps]
